1,neutral
2,positive
3,positive
4,positive
5,positive
6,neutral
7,neutral
8,neutral
9,neutral
10,negative
11,negative
12,positive
13,neutral
14,neutral
15,positive
16,neutral
17,positive
18,neutral
19,neutral
20,positive
21,positive
22,neutral
23,positive
24,neutral
25,neutral
26,neutral
27,neutral
28,positive
29,positive
30,neutral
31,negative
32,positive
33,positive
34,positive
35,positive
36,neutral
37,neutral
38,neutral
39,neutral
40,neutral
41,positive
42,positive
43,neutral
44,neutral
45,neutral
46,neutral
47,neutral
48,negative
49,negative
50,positive
51,positive
52,positive
53,positive
54,negative
55,neutral
56,positive
57,neutral
58,neutral
59,neutral
60,neutral
61,neutral
62,neutral
63,positive
64,neutral
65,negative
66,positive
67,positive
68,neutral
69,neutral
70,positive
71,positive
72,neutral
73,neutral
74,neutral
75,positive
76,positive
77,neutral
78,negative
79,positive
80,positive
81,neutral
82,positive
83,neutral
84,positive
85,neutral
86,positive
87,neutral
88,neutral
89,neutral
90,positive
91,positive
92,neutral
93,positive
94,positive
95,neutral
96,neutral
97,neutral
98,neutral
99,positive
100,positive
101,positive
102,positive
103,neutral
104,positive
105,neutral
106,neutral
107,neutral
108,positive
109,neutral
110,positive
111,neutral
112,positive
113,neutral
114,neutral
115,positive
116,neutral
117,neutral
118,neutral
119,neutral
120,neutral
121,positive
122,neutral
123,positive
124,positive
125,neutral
126,neutral
127,neutral
128,neutral
129,positive
130,positive
131,neutral
132,positive
133,positive
134,neutral
135,positive
136,neutral
137,neutral
138,positive
139,neutral
140,neutral
141,negative
142,neutral
143,neutral
144,neutral
145,neutral
146,neutral
147,neutral
148,positive
149,positive
150,positive
151,neutral
152,positive
153,positive
154,positive
155,neutral
156,positive
157,positive
158,positive
159,neutral
160,neutral
161,neutral
162,neutral
163,neutral
164,positive
165,positive
166,neutral
167,neutral
168,positive
169,positive
170,neutral
171,neutral
172,positive
173,positive
174,neutral
175,neutral
176,positive
177,neutral
178,neutral
179,positive
180,neutral
181,neutral
182,positive
183,neutral
184,positive
185,neutral
186,neutral
187,negative
188,positive
189,positive
190,neutral
191,neutral
192,positive
193,neutral
194,positive
195,positive
196,neutral
197,neutral
198,neutral
199,positive
200,positive
201,neutral
202,positive
203,neutral
204,neutral
205,neutral
206,neutral
207,positive
208,positive
209,positive
210,positive
211,neutral
212,neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,neutral
220,positive
221,positive
222,neutral
223,neutral
224,neutral
225,neutral
226,neutral
227,neutral
228,positive
229,positive
230,neutral
231,neutral
232,positive
233,positive
234,positive
235,positive
236,neutral
237,neutral
238,neutral
239,positive
240,positive
241,positive
242,neutral
243,neutral
244,neutral
245,positive
246,neutral
247,neutral
248,neutral
249,neutral
250,neutral
251,neutral
252,positive
253,negative
254,positive
255,positive
256,neutral
257,neutral
258,positive
259,positive
260,neutral
261,positive
262,positive
263,positive
264,neutral
265,neutral
266,positive
267,neutral
268,positive
269,neutral
270,neutral
271,neutral
272,positive
273,positive
274,neutral
275,positive
276,positive
277,positive
278,positive
279,positive
280,positive
281,positive
282,positive
283,positive
284,positive
285,positive
286,positive
287,neutral
288,positive
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,neutral
295,positive
296,neutral
297,positive
298,positive
299,positive
300,positive
301,positive
302,neutral
303,positive
304,positive
305,neutral
306,positive
307,positive
308,neutral
309,neutral
310,neutral
311,positive
312,neutral
313,neutral
314,neutral
315,neutral
316,neutral
317,positive
318,neutral
319,positive
320,neutral
321,neutral
322,neutral
323,neutral
324,neutral
325,neutral
326,neutral
327,positive
328,neutral
329,neutral
330,neutral
331,neutral
332,positive
333,positive
334,neutral
335,positive
336,neutral
337,neutral
338,neutral
339,neutral
340,positive
341,neutral
342,neutral
343,neutral
344,neutral
345,positive
346,positive
347,positive
348,positive
349,neutral
350,neutral
351,neutral
352,neutral
353,neutral
354,neutral
355,neutral
356,negative
361,negative
362,negative
368,neutral
382,neutral
404,neutral
422,negative
427,negative
428,positive
440,negative
448,negative
472,neutral
476,positive
496,neutral
501,neutral
513,negative
516,neutral
517,neutral
524,negative
528,negative
531,neutral
534,negative
543,neutral
550,negative
551,neutral
552,negative
553,neutral
554,negative
555,negative
556,negative
557,neutral
558,neutral
559,neutral
560,negative
562,neutral
564,neutral
565,neutral
569,negative
572,negative
576,neutral
577,neutral
580,negative
587,neutral
593,negative
594,negative
597,negative
601,negative
603,negative
606,neutral
607,negative
612,negative
615,neutral
617,neutral
620,negative
621,neutral
625,neutral
632,negative
639,negative
651,NEUTRAL
652,NEUTRAL
653,NEUTRAL
654,NEUTRAL
655,NEUTRAL
656,NEUTRAL
657,NEUTRAL
658,NEUTRAL
659,NEUTRAL
660,NEUTRAL
661,NEUTRAL
662,NEUTRAL
663,NEUTRAL
664,NEUTRAL
665,NEGATIVE
666,NEUTRAL
667,NEUTRAL
668,NEUTRAL
669,NEUTRAL
670,NEUTRAL
671,NEUTRAL
672,NEUTRAL
673,NEUTRAL
674,NEUTRAL
675,NEUTRAL
676,NEUTRAL
677,NEUTRAL
678,NEUTRAL
679,NEUTRAL
680,NEUTRAL
681,NEUTRAL
682,NEUTRAL
683,NEUTRAL
684,NEUTRAL
685,NEUTRAL
686,NEUTRAL
687,NEUTRAL
688,NEUTRAL
689,NEUTRAL
690,NEUTRAL
691,NEUTRAL
692,NEUTRAL
693,NEUTRAL
694,NEUTRAL
695,NEUTRAL
696,NEUTRAL
697,NEUTRAL
698,NEUTRAL
699,NEUTRAL
700,NEUTRAL
701,NEUTRAL
702,POSITIVE
703,NEUTRAL
704,NEUTRAL
705,NEUTRAL
706,NEUTRAL
707,NEUTRAL
708,NEUTRAL
709,NEUTRAL
710,NEUTRAL
711,NEUTRAL
712,NEUTRAL
713,NEUTRAL
714,NEUTRAL
715,NEUTRAL
716,NEUTRAL
717,NEUTRAL
718,NEUTRAL
719,NEUTRAL
720,NEUTRAL
721,NEUTRAL
722,NEUTRAL
723,NEUTRAL
724,NEUTRAL
725,NEUTRAL
726,NEUTRAL
727,NEUTRAL
728,NEGATIVE
729,NEUTRAL
730,NEUTRAL
731,NEUTRAL
732,NEUTRAL
733,NEUTRAL
734,NEUTRAL
735,NEUTRAL
736,NEUTRAL
737,POSITIVE
738,NEUTRAL
739,NEUTRAL
740,NEUTRAL
741,NEUTRAL
742,NEUTRAL
743,NEUTRAL
744,NEUTRAL
745,NEUTRAL
746,NEUTRAL
747,NEUTRAL
748,NEUTRAL
749,NEUTRAL
750,POSITIVE
751,NEUTRAL
752,NEUTRAL
753,NEUTRAL
754,NEUTRAL
755,NEUTRAL
756,NEUTRAL
757,NEUTRAL
758,POSITIVE
759,NEUTRAL
760,NEUTRAL
761,NEUTRAL
762,NEUTRAL
763,NEUTRAL
764,NEUTRAL
765,NEUTRAL
766,POSITIVE
767,NEUTRAL
768,NEUTRAL
769,NEUTRAL
770,NEUTRAL
771,NEUTRAL
772,NEUTRAL
773,NEUTRAL
774,NEUTRAL
775,NEUTRAL
776,NEUTRAL
777,NEUTRAL
778,NEUTRAL
779,NEUTRAL
780,NEUTRAL
781,NEUTRAL
782,NEUTRAL
783,NEUTRAL
784,NEUTRAL
785,NEUTRAL
786,NEUTRAL
787,POSITIVE
788,POSITIVE
789,NEUTRAL
790,NEUTRAL
791,NEUTRAL
792,NEUTRAL
793,NEUTRAL
794,NEUTRAL
795,POSITIVE
796,NEUTRAL
797,NEUTRAL
798,NEUTRAL
799,NEUTRAL
800,NEUTRAL
801,NEUTRAL
802,NEUTRAL
803,NEUTRAL
804,NEUTRAL
805,NEUTRAL
806,NEUTRAL
807,NEUTRAL
808,NEUTRAL
809,NEUTRAL
810,NEUTRAL
811,NEUTRAL
812,NEUTRAL
813,NEUTRAL
814,NEUTRAL
815,NEUTRAL
816,NEUTRAL
817,POSITIVE
818,NEUTRAL
819,NEUTRAL
820,NEUTRAL
821,NEUTRAL
822,NEUTRAL
823,NEUTRAL
824,NEUTRAL
825,POSITIVE
826,POSITIVE
827,NEUTRAL
828,NEUTRAL
829,NEUTRAL
830,NEUTRAL
831,NEUTRAL
832,NEUTRAL
833,NEUTRAL
834,NEUTRAL
835,NEUTRAL
836,NEUTRAL
837,NEUTRAL
838,NEUTRAL
839,NEUTRAL
840,NEUTRAL
841,NEUTRAL
842,NEUTRAL
843,NEUTRAL
844,POSITIVE
845,NEUTRAL
846,NEUTRAL
847,NEUTRAL
848,NEUTRAL
849,NEUTRAL
850,NEUTRAL
851,NEUTRAL
852,NEUTRAL
853,NEUTRAL
854,NEUTRAL
855,NEUTRAL
856,NEUTRAL
857,NEUTRAL
858,POSITIVE
859,NEUTRAL
860,NEUTRAL
861,POSITIVE
862,NEUTRAL
863,NEUTRAL
864,NEUTRAL
865,NEUTRAL
866,NEUTRAL
867,NEUTRAL
868,NEUTRAL
869,NEUTRAL
870,NEUTRAL
871,NEUTRAL
872,NEUTRAL
873,NEUTRAL
874,NEUTRAL
875,NEUTRAL
876,NEUTRAL
877,NEUTRAL
878,POSITIVE
879,NEUTRAL
880,NEUTRAL
881,NEUTRAL
882,NEUTRAL
883,NEUTRAL
884,NEUTRAL
885,NEUTRAL
886,NEUTRAL
887,NEUTRAL
888,NEUTRAL
889,NEUTRAL
890,NEUTRAL
891,NEUTRAL
892,NEUTRAL
893,NEUTRAL
894,NEUTRAL
895,NEUTRAL
896,NEUTRAL
897,NEUTRAL
898,NEUTRAL
899,NEUTRAL
900,NEUTRAL
901,NEUTRAL
902,NEUTRAL
903,NEUTRAL
904,NEUTRAL
905,NEUTRAL
906,NEUTRAL
907,NEUTRAL
908,NEUTRAL
909,NEUTRAL
910,NEUTRAL
911,NEUTRAL
912,NEUTRAL
913,NEUTRAL
914,NEUTRAL
915,POSITIVE
916,NEUTRAL
917,NEUTRAL
918,NEUTRAL
919,NEUTRAL
920,NEUTRAL
921,NEUTRAL
922,NEUTRAL
923,NEUTRAL
924,NEUTRAL
925,NEUTRAL
926,NEUTRAL
927,NEUTRAL
928,NEUTRAL
929,NEUTRAL
930,NEUTRAL
931,NEUTRAL
932,NEUTRAL
933,NEUTRAL
934,NEUTRAL
935,NEUTRAL
936,NEUTRAL
937,NEUTRAL
938,NEUTRAL